OrderID,CustomerID,CustomerName,OrderDate,Product,Category,Quantity,UnitPrice,BaseCost,TotalPrice,Tax,TotalPriceWithTax,Country,PointOfSale,SalesAgent,Segment,PaymentMethod,Discount
FA-1600,6777,Kara Odonnell,2024-05-16,Keyboard,Accessories,4,866.03,617.34,3464.12,519.62,3983.74,Antigua and Barbuda,Store B,Melissa Smith,Wholesale,Wire Transfer,0.02
FA-16476,46015,Margaret Spears,2023-11-29,Phone,Mobile Devices,8,509.64,269.39,4077.12,611.57,4688.69,Iran,Store B,Brent Wise,Online,Paypal,0.29
FA-24939,1393,Stephen Wells,2023-12-19,Laptop,Electronics,6,389.69,198.65,2338.14,350.72,2688.86,Venezuela,Store A,Kristen Howard,Corporate,Paypal,0.0
FA-7337,7621,Michael Taylor,2023-10-24,Phone,Mobile Devices,7,560.43,341.33,3923.01,588.45,4511.46,Netherlands,Store C,Tracey Morales,Corporate,Paypal,0.25
FA-73478,45909,Dr. Jason Dawson,2023-04-04,Laptop,Electronics,9,763.73,589.55,6873.57,1031.04,7904.61,Niue,Store A,Timothy Brown,Retail,Cash,0.3
FA-24355,96892,Aaron Peters,2024-06-09,Monitor,Electronics,5,825.15,548.67,4125.75,618.86,4744.61,Libyan Arab Jamahiriya,Store B,Cristina Shaw,Wholesale,Paypal,0.0
FA-24355,89131,Aaron Peters,2024-06-09,Monitor,Electronics,5,825.15,548.67,4125.75,618.86,4744.61,Saint Pierre and Miquelon,Store B,Cristina Shaw,Wholesale,Cash,0.0
FA-7290,51713,marie davis,2023-11-09,Tablet,Mobile Devices,7,303.1,203.42,2121.7,318.25,2439.95,Turkmenistan,Store A,Kelsey Turner,Online,Cash,0.0
FA-48281,21845,Tiffany Escobar,2023-11-19,Keyboard,Accessories,10,543.7,418.64,5437.0,815.55,6252.55,Turkey,Store C,Brian Jones,Retail,Wire Transfer,0.21
FA-78302,62643,Raymond Roberts,2023-10-25,Tablet,Mobile Devices,8,62.08,35.45,496.64,74.5,571.14,Cocos (Keeling) Islands,Store C,Brian Gilbert,Corporate,Credit Card,0.0
FA-38837,71359,Roberto Brown,2023-04-18,Tablet,Mobile Devices,9,651.66,452.04,5864.94,879.74,6744.68,Bhutan,Store B,Steve Hawkins,Wholesale,Wire Transfer,0.0
FA-65320,74709,marie davis,2023-05-25,Mouse,Accessories,-4,507.83,265.95,2031.32,304.7,-6252.55,Samoa,Store A,Brent Young,Corporate,Paypal,0.0
FA-70478,91873,Gregory Parks,2024-08-16,Phone,Mobile Devices,2,737.84,404.14,1475.68,221.35,1697.03,United States Minor Outlying Islands,Online Platform,Brent Wise,Wholesale,Wire Transfer,0.0
FA-98873,19516,Brandon Hernandez,2023-01-08,Keyboard,Accessories,7,888.96,501.47,6222.72,933.41,7156.13,Cape Verde,Store A,Amy Wells,Corporate,Paypal,0.0
FA-45054,27888,Rodney Jackson,2024-03-27,Tablet,Mobile Devices,8,107.47,61.36,859.76,128.96,988.72,Belgium,Store C,Barbara Williams,Wholesale,Cash,0.11
FA-25209,10055,Adam Butler,2023-01-01,Keyboard,Accessories,10,236.8,156.91,2368.0,355.2,2723.2,Equatorial Guinea,Store B,Thomas Anderson,Wholesale,Credit Card,0.0
FA-93662,39347,Karen Diaz,2024-01-12,Monitor,Electronics,1,145.49,94.51,145.49,21.82,167.31,Niger,Online Platform,Brent Wise,Corporate,Cash,0.04
FA-83630,6307,Jessica Perez,2024-03-16,Phone,Mobile Devices,10,188.19,141.29,1881.9,282.29,2164.19,Algeria,Online Platform,Bonnie Guzman,Online,Wire Transfer,0.0
FA-68943,17708,Deborah Cummings,2024-01-12,Monitor,Electronics,5,966.36,564.97,4831.8,724.77,5556.57,Niger,Online Platform,Thomas Anderson,Wholesale,Cash,0.0
FA-19296,84733,Edward Reynolds,2023-02-04,Mouse,Accessories,8,134.82,103.01,1078.56,161.78,1240.34,Austria,Store B,Mrs. Mary Alvarez MD,Corporate,Cash,0.23
FA-43980,98647,Brandon Martin,2023-02-26,Keyboard,Accessories,7,795.36,510.83,5567.52,835.13,6402.65,Bahamas,Store C,Sara Baldwin,Retail,Wire Transfer,0.0
FA-39040,89589,Sarah Rose,2024-10-11,Tablet,Mobile Devices,3,418.11,273.21,1254.33,188.15,1442.48,New Zealand,Store B,Kelly Fisher,Retail,Cash,0.0
FA-69758,13508,Charles Hall,2023-08-31,Monitor,Electronics,7,698.97,388.93,4892.79,733.92,5626.71,Netherlands,Store C,Bryan Perkins,Retail,Credit Card,0.0
FA-8582,65931,Dennis Cannon,2024-03-17,Monitor,Electronics,7,719.0,549.02,5033.0,754.95,5787.95,Haiti,Store A,Brian Gilbert,Retail,Credit Card,0.22
FA-91780,9512,Anthony Lambert,2023-08-25,Keyboard,Accessories,3,720.13,549.86,2160.39,324.06,2484.45,Uganda,Store A,Kimberly Jackson,Wholesale,Wire Transfer,0.17
FA-96988,9148,Steven White,2024-09-12,Monitor,Electronics,4,389.16,272.9,1556.64,233.5,1790.14,Antigua and Barbuda,Store C,Barbara Williams,Retail,Credit Card,0.0
FA-55700,92944,Kimberly Martin,2024-05-27,Monitor,Electronics,4,234.1,154.56,936.4,140.46,1076.86,South Africa,Store B,Sara Baldwin,Corporate,Cash,0.2
FA-95765,30669,Joseph Nelson,2024-01-11,Monitor,Electronics,8,300.94,175.91,2407.52,361.13,2768.65,Tuvalu,Store C,Nicole Bell,Corporate,Wire Transfer,0.0
FA-29616,98225,marie davis,2023-07-27,Laptop,Electronics,5,108.81,61.83,544.05,81.61,625.66,Denmark,Store A,Cristina Shaw,Retail,Cash,0.0
FA-56091,32084,Ashley Hammond,2023-04-21,Laptop,Electronics,-6,657.19,438.44,3943.14,591.47,-117.76,Zambia,Store A,Bonnie Guzman,Online,Credit Card,0.07
FA-20986,3241,Danielle Campos,2023-02-24,Laptop,Electronics,9,149.93,75.11,1349.37,202.41,1551.78,Netherlands,Store A,Jacqueline Rodriguez,Retail,Paypal,0.0
FA-228,86244,William Phillips,2024-04-18,Phone,Mobile Devices,4,239.46,173.05,957.84,143.68,1101.52,Kazakhstan,Store B,Bryan Perkins,Online,Credit Card,0.0
FA-31566,73117,Diane Lyons,2023-11-02,Mouse,Accessories,6,887.64,597.99,5325.84,798.88,6124.72,Venezuela,Store B,Kelly Fisher,Online,Paypal,0.1
FA-22274,45633,Tyler Garcia,2023-03-18,Keyboard,Accessories,1,22.71,18.11,22.71,3.41,26.12,Saint Kitts and Nevis,Store C,Lucas Gordon,Online,Wire Transfer,0.0
FA-76211,33021,Kim Zhang,2024-08-18,Phone,Mobile Devices,5,149.67,113.74,748.35,112.25,860.6,Tuvalu,Store B,Anna Dickerson,Wholesale,Cash,0.21
FA-8519,88889,Scott Campbell,2024-05-13,Laptop,Electronics,7,27.68,17.88,193.76,29.06,222.82,Norfolk Island,Store C,Dawn Mcdonald,Corporate,Credit Card,0.0
FA-8519,36591,Scott Campbell,2024-05-13,Laptop,Electronics,7,27.68,17.88,193.76,29.06,222.82,Slovenia,Store C,Dawn Mcdonald,Corporate,Wire Transfer,0.0
FA-33863,5794,Jerry Martin,2024-03-30,Phone,Mobile Devices,5,183.06,123.72,915.3,137.29,1052.59,Sweden,Store A,Cristina Shaw,Retail,Credit Card,0.0
FA-74218,12211,Angela Klein,2024-06-22,Laptop,Electronics,5,68.41,40.02,342.05,51.31,393.36,Afghanistan,Store A,Thomas Anderson,Corporate,Paypal,0.0
FA-81043,2118,marie davis,2023-08-07,Phone,Mobile Devices,-6,831.95,595.37,4991.7,748.75,-26.12,United Arab Emirates,Store C,Bryan Perkins,Retail,Credit Card,0.0
FA-77797,39685,Dalton Kane,2023-09-27,Keyboard,Accessories,2,52.99,30.7,105.98,15.9,121.88,Namibia,Online Platform,Mia Zamora,Online,Wire Transfer,0.0
FA-77797,36435,Dalton Kane,2023-09-27,Keyboard,Accessories,2,52.99,30.7,105.98,15.9,121.88,Libyan Arab Jamahiriya,Online Platform,Mia Zamora,Online,Cash,0.0
FA-36196,79687,Michael Black,2023-01-23,Mouse,Accessories,1,870.2,688.9,870.2,130.53,1000.73,Belize,Store A,Charles Dixon,Corporate,Cash,0.0
FA-36196,52945,Michael Black,2023-01-23,Mouse,Accessories,1,870.2,688.9,870.2,130.53,1000.73,Antarctica (the territory South of 60 deg S),Store A,Charles Dixon,Corporate,Wire Transfer,0.0
FA-41068,700,Sarah Snow,2024-03-03,Monitor,Electronics,8,588.02,344.86,4704.16,705.62,5409.78,Guinea-Bissau,Store B,Tiffany Dawson,Corporate,Paypal,0.08
FA-86439,42210,Marvin Becker,2024-10-10,Phone,Mobile Devices,3,410.26,301.14,1230.78,184.62,1415.4,Equatorial Guinea,Store C,Brent Young,Corporate,Paypal,0.0
FA-86439,85260,Marvin Becker,2024-10-10,Phone,Mobile Devices,3,410.26,301.14,1230.78,184.62,1415.4,Lebanon,Store C,Brent Young,Corporate,Cash,0.0
FA-58156,32261,Tyrone Robinson,2023-03-16,Laptop,Electronics,7,851.28,443.77,5958.96,893.84,6852.8,American Samoa,Store B,Barbara Williams,Online,Wire Transfer,0.0
FA-1536,69026,Donald Henry,2024-02-20,Phone,Mobile Devices,3,721.92,483.95,2165.76,324.86,2490.62,Belgium,Store C,Tracey Morales,Online,Wire Transfer,0.26
FA-35800,5929,John Cooley,2023-08-20,Mouse,Accessories,7,484.94,354.73,3394.58,509.19,3903.77,Australia,Store B,Anna Dickerson,Retail,Cash,0.0
FA-72268,96169,Kathleen Wright,2023-02-11,Mouse,Accessories,5,163.55,83.1,817.75,122.66,940.41,Antarctica (the territory South of 60 deg S),Store A,Kara Jones,Corporate,Credit Card,0.01
FA-56597,45815,James Reynolds,2023-08-13,Monitor,Electronics,9,533.24,311.11,4799.16,719.87,5519.03,Venezuela,Store C,Colleen Mcbride,Online,Credit Card,0.09
FA-60454,21100,Elizabeth Oliver,2024-07-06,Mouse,Accessories,8,497.95,397.18,3983.6,597.54,4581.14,Trinidad and Tobago,Store C,Caleb Pope,Retail,Cash,0.0
FA-52027,9056,Michael Hoover,2024-09-15,Tablet,Mobile Devices,6,213.9,115.88,1283.4,192.51,1475.91,Belize,Store A,Amy Wells,Wholesale,Credit Card,0.0
FA-27090,87327,Patricia Terry,2024-06-16,Tablet,Mobile Devices,5,83.42,65.66,417.1,62.56,479.66,Nigeria,Store C,Charles Dixon,Wholesale,Wire Transfer,0.0
FA-66955,47786,Ana Gentry,2023-04-03,Tablet,Mobile Devices,9,423.27,328.77,3809.43,571.41,4380.84,Saudi Arabia,Store B,Bryan Perkins,Online,Paypal,0.0
FA-7365,53869,Wendy Gillespie,2024-08-09,Mouse,Accessories,9,730.73,389.55,6576.57,986.49,7563.06,Malaysia,Store B,Barbara Williams,Retail,Credit Card,0.15
FA-21674,68585,Eric Mason,2023-10-24,Phone,Mobile Devices,4,580.36,310.87,2321.44,348.22,2669.66,Andorra,Online Platform,Brent Wise,Corporate,Cash,0.18
FA-81187,54698,Sandra Price,2023-07-29,Phone,Mobile Devices,9,967.42,564.46,8706.78,1306.02,10012.8,Antigua and Barbuda,Store B,Mia Zamora,Corporate,Paypal,0.0
FA-81187,55089,Sandra Price,2023-07-29,Phone,Mobile Devices,-9,967.42,564.46,8706.78,1306.02,-5519.03,Gibraltar,Store B,Mia Zamora,Corporate,Wire Transfer,0.0
FA-74787,18385,Emily Allen,2024-01-21,Phone,Mobile Devices,3,854.74,529.84,2564.22,384.63,2948.85,Serbia,Store A,Kelly Fisher,Retail,Cash,0.0
FA-53255,92463,John Smith,2023-08-20,Monitor,Electronics,3,348.38,174.4,1045.14,156.77,1201.91,Suriname,Online Platform,Caleb Pope,Online,Credit Card,0.22
FA-16947,74728,Amy Hall,2024-08-04,Monitor,Electronics,10,469.38,359.83,4693.8,704.07,5397.87,Nigeria,Online Platform,Caleb Pope,Retail,Paypal,0.0
FA-17944,873,Daniel Gibson,2023-05-20,Keyboard,Accessories,4,43.16,29.76,172.64,25.9,198.54,Singapore,Store A,Kelsey Turner,Retail,Wire Transfer,0.24
FA-20195,70537,Roger Miller,2023-07-22,Mouse,Accessories,9,665.77,417.22,5991.93,898.79,6890.72,Niger,Store B,Sara Baldwin,Retail,Cash,0.22
FA-71606,76070,Michelle Garcia,2023-03-29,Phone,Mobile Devices,3,450.67,332.76,1352.01,202.8,1554.81,Tuvalu,Store C,Theresa Yates,Corporate,Cash,0.0
FA-71606,44859,Michelle Garcia,2023-03-29,Phone,Mobile Devices,3,450.67,332.76,1352.01,202.8,1554.81,Niger,Store C,Theresa Yates,Corporate,Wire Transfer,0.05
FA-5843,6258,Stephanie Smith,2024-04-03,Laptop,Electronics,1,229.29,133.56,229.29,34.39,263.68,Iran,Online Platform,Heather Walker,Corporate,Cash,0.0
FA-28472,78341,Jennifer Chan,2024-07-21,Mouse,Accessories,10,517.73,303.1,5177.3,776.6,5953.9,Guadeloupe,Store B,Tonya Walls,Wholesale,Cash,0.0
FA-64655,62331,Linda Watson,2023-10-31,Keyboard,Accessories,8,673.05,361.07,5384.4,807.66,6192.06,Palau,Online Platform,Julie Oneill,Retail,Cash,0.0
FA-95540,60910,Sharon Smith,2023-01-27,Keyboard,Accessories,9,273.74,148.13,2463.66,369.55,2833.21,Svalbard & Jan Mayen Islands,Store B,Cristina Shaw,Online,Credit Card,0.0
FA-10472,85874,Scott Stephens,2024-04-11,Tablet,Mobile Devices,8,261.26,149.83,2090.08,313.51,2403.59,Fiji,Store B,Kelly Martinez,Online,Cash,0.0
FA-24913,12808,Mackenzie Wilson,2024-04-14,Phone,Mobile Devices,1,515.72,381.2,515.72,77.36,593.08,Iran,Store B,Robert Nunez,Corporate,Paypal,0.0
FA-52196,56891,Debbie Brown,2023-01-09,Tablet,Mobile Devices,8,695.98,443.22,5567.84,835.18,6403.02,Ghana,Online Platform,Brian Brown,Corporate,Paypal,0.0
FA-52196,70060,Debbie Brown,2023-01-09,Tablet,Mobile Devices,-8,695.98,443.22,5567.84,835.18,-6744.68,Malawi,Online Platform,Brian Brown,Corporate,Cash,0.21
FA-34172,66049,James Dean,2023-04-01,Keyboard,Accessories,5,24.29,12.19,121.45,18.22,139.67,Greece,Store B,Kelly Martinez,Wholesale,Credit Card,0.09
FA-49068,71791,Christine Greene,2023-02-20,Monitor,Electronics,-7,58.32,33.33,408.24,61.24,-5787.95,Martinique,Online Platform,Timothy Brown,Retail,Paypal,0.22
FA-12083,51143,Michelle Bishop,2024-08-23,Mouse,Accessories,8,705.05,540.87,5640.4,846.06,6486.46,Mauritania,Store C,Tiffany Dawson,Retail,Credit Card,0.0
FA-97664,15263,Christopher Andrews,2024-10-12,Phone,Mobile Devices,7,585.34,316.37,4097.38,614.61,4711.99,Svalbard & Jan Mayen Islands,Store C,Kara Jones,Online,Paypal,0.0
FA-86971,32418,Nicholas Adams,2023-04-13,Laptop,Electronics,-7,407.33,277.43,2851.31,427.7,-2484.45,Eritrea,Online Platform,Darin Evans,Online,Paypal,0.0
FA-55015,96250,Sarah Robinson,2024-07-13,Keyboard,Accessories,6,149.64,80.93,897.84,134.68,1032.52,Italy,Store A,Kara Jones,Corporate,Wire Transfer,0.0
FA-61078,93431,Bradley Harris,2024-09-28,Keyboard,Accessories,8,802.27,604.73,6418.16,962.72,7380.88,Hungary,Store C,Jonathan Singleton,Online,Paypal,0.0
FA-89779,62712,Katelyn Hart,2024-06-18,Phone,Mobile Devices,3,238.31,172.38,714.93,107.24,822.17,Saint Vincent and the Grenadines,Store C,Bryan Perkins,Retail,Paypal,0.04
FA-20986,19818,Melissa Boyd,2023-02-23,Laptop,Electronics,7,851.42,442.34,5959.94,893.99,6853.93,Syrian Arab Republic,Online Platform,Amy Wells,Corporate,Wire Transfer,0.0
FA-20986,16963,Melissa Boyd,2023-02-23,Laptop,Electronics,7,851.42,442.34,5959.94,893.99,6853.93,Canada,Online Platform,Amy Wells,Corporate,Paypal,0.0
FA-15904,18717,Donna Oneal,2023-07-23,Phone,Mobile Devices,-9,456.38,255.07,4107.42,616.11,-6402.65,Guadeloupe,Store A,Brent Wise,Corporate,Credit Card,0.0
FA-70597,87609,Lee Jones,2024-03-29,Monitor,Electronics,1,262.52,183.45,262.52,39.38,301.9,Latvia,Online Platform,Erica Coleman,Corporate,Paypal,0.0
FA-92919,89879,Amanda Ballard,2023-03-18,Monitor,Electronics,3,965.05,724.92,2895.15,434.27,3329.42,Syrian Arab Republic,Store B,Sara Baldwin,Corporate,Credit Card,0.03
FA-82769,4793,Marco Walton,2023-07-24,Monitor,Electronics,4,429.5,275.71,1718.0,257.7,1975.7,Puerto Rico,Store B,Kristen Howard,Wholesale,Credit Card,0.0
FA-72926,68319,Marie davis,2023-12-14,Laptop,Electronics,7,821.94,551.35,5753.58,863.04,6616.62,Algeria,Store C,Joseph Lewis,Corporate,Paypal,0.0
FA-9257,75503,Wayne Clark,2023-06-14,Phone,Mobile Devices,10,205.67,158.36,2056.7,308.5,2365.2,Tunisia,Online Platform,Melissa Thompson,Wholesale,Credit Card,0.23
FA-26094,62700,Robin Hayes,2024-03-24,Mouse,Accessories,7,820.69,450.4,5744.83,861.72,6606.55,Costa Rica,Store B,Robert Nunez,Retail,Cash,0.0
FA-95019,82360,Sharon Smith,2023-05-10,Laptop,Electronics,2,483.55,251.37,967.1,145.06,1112.16,Mozambique,Store C,Heather Walker,Corporate,Paypal,0.0
FA-42107,35110,Kimberly Mahoney,2024-02-22,Tablet,Mobile Devices,8,279.91,156.8,2239.28,335.89,2575.17,Cook Islands,Store C,Joseph Lewis,Corporate,Paypal,0.14
FA-87430,8677,Samuel Middleton,2023-12-10,Tablet,Mobile Devices,3,180.27,143.44,540.81,81.12,621.93,Saint Pierre and Miquelon,Store A,Anna Dickerson,Wholesale,Wire Transfer,0.0
FA-34479,70305,Jamie Potts,2023-08-20,Mouse,Accessories,8,844.96,444.0,6759.68,1013.95,7773.63,Brazil,Store A,Anna Dickerson,Corporate,Credit Card,0.0
FA-34479,18896,Jamie Potts,2023-08-20,Mouse,Accessories,8,844.96,444.0,6759.68,1013.95,7773.63,Haiti,Store A,Anna Dickerson,Corporate,Credit Card,0.0
FA-43926,43884,Jennifer Ball,2023-11-24,Mouse,Accessories,6,94.38,65.38,566.28,84.94,651.22,Malaysia,Store C,Brent Young,Corporate,Wire Transfer,0.04
FA-69424,28098,Daniel Peck,2024-06-01,Tablet,Mobile Devices,5,398.06,249.74,1990.3,298.54,2288.84,Malta,Online Platform,Brian Jones,Corporate,Paypal,0.17
FA-79546,79259,Amanda Rodgers,2023-05-21,Tablet,Mobile Devices,6,571.15,428.74,3426.9,514.03,3940.93,Cayman Islands,Store B,Mrs. Mary Alvarez MD,Online,Paypal,0.0
FA-92758,70118,Miss Heather Paul,2023-10-22,Tablet,Mobile Devices,-5,325.25,210.0,1626.25,243.94,-4534.61,Japan,Store C,Jacqueline Rodriguez,Wholesale,Wire Transfer,0.0
FA-4346,64482,Debbie Whitehead,2023-12-17,Phone,Mobile Devices,-6,357.09,272.77,2142.54,321.38,-6616.62,Madagascar,Store B,Theresa Yates,Wholesale,Wire Transfer,0.0
FA-65032,29273,Alejandro Jackson,2024-02-26,Monitor,Electronics,5,464.08,329.33,2320.4,348.06,2668.46,Venezuela,Store B,Cristina Shaw,Retail,Cash,0.0
FA-55294,1126,Mary Maxwell,2023-08-24,Keyboard,Accessories,2,240.49,145.77,480.98,72.15,553.13,Turkey,Store A,Bryan Perkins,Corporate,Credit Card,0.08
FA-4210,65252,Jessica Wolfe,2023-06-30,Keyboard,Accessories,4,884.42,568.51,3537.68,530.65,4068.33,Russian Federation,Store A,Kristen Howard,Retail,Cash,0.0
FA-4210,73850,Jessica Wolfe,2023-06-30,Keyboard,Accessories,4,884.42,568.51,3537.68,530.65,4068.33,Brazil,Store A,Kristen Howard,Retail,Credit Card,0.0
FA-5806,47129,John Martin,2024-09-11,Mouse,Accessories,5,945.14,487.12,4725.7,708.85,5434.55,Togo,Store C,Brianna Hunt,Corporate,Paypal,0.0
FA-6474,84051,Matthew Preston,2023-12-07,Mouse,Accessories,10,824.97,560.24,8249.7,1237.46,9487.16,Suriname,Store B,Brent Wise,Retail,Credit Card,0.0
FA-69485,70830,Jason Mckinney,2024-02-13,Phone,Mobile Devices,4,484.06,244.78,1936.24,290.44,2226.68,Cocos (Keeling) Islands,Store A,Caleb Pope,Corporate,Credit Card,0.0
FA-16459,56389,Marie Davis.,2024-07-18,Keyboard,Accessories,9,843.55,432.48,7591.95,1138.79,8730.74,Canada,Online Platform,Kelly Martinez,Corporate,Credit Card,0.13
FA-64453,64296,Stephanie Walker,2023-05-08,Tablet,Mobile Devices,4,26.21,17.51,104.84,15.73,120.57,Niue,Store A,Brian Jones,Retail,Cash,0.0
FA-12370,50791,Caitlin Chapman,2023-02-06,Monitor,Electronics,7,616.6,383.26,4316.2,647.43,4963.63,Saint Vincent and the Grenadines,Store A,Mia Zamora,Wholesale,Wire Transfer,0.06
FA-12370,91679,Caitlin Chapman,2023-02-06,Monitor,Electronics,7,616.6,383.26,4316.2,647.43,4963.63,Spain,Store A,Mia Zamora,Wholesale,Paypal,0.0
FA-66682,17858,Jason Hoover,2023-05-04,Keyboard,Accessories,2,929.87,697.87,1859.74,278.96,2138.7,Georgia,Store C,Melissa Smith,Online,Wire Transfer,0.0
FA-61021,89942,Kristin Price,2024-08-29,Keyboard,Accessories,3,961.62,513.52,2884.86,432.73,3317.59,Germany,Store A,Darin Evans,Wholesale,Cash,0.0
FA-94619,85182,David Schmidt,2024-01-07,Monitor,Electronics,10,679.03,448.31,6790.3,1018.54,7808.84,Estonia,Store B,Robert Nunez,Online,Wire Transfer,0.27
FA-13017,67452,Heather Gibson,2024-04-14,Monitor,Electronics,4,173.89,125.16,695.56,104.33,799.89,United Arab Emirates,Store A,Kristen Howard,Corporate,Credit Card,0.0
FA-23514,65779,David Bowen,2024-02-12,Tablet,Mobile Devices,10,850.53,483.63,8505.3,1275.79,9781.09,French Southern Territories,Store B,Nicole Bell,Online,Credit Card,0.1
FA-52305,31685,Lonnie Gomez,2023-06-25,Phone,Mobile Devices,6,314.2,196.8,1885.2,282.78,2167.98,Ethiopia,Store C,Kristen Howard,Corporate,Paypal,0.18
FA-66084,38141,Jacqueline Allison,2023-11-19,Mouse,Accessories,4,989.11,640.66,3956.44,593.47,4549.91,Kenya,Store C,Erica Coleman,Wholesale,Credit Card,0.0
FA-74756,12677,Kayla Green,2023-05-20,Mouse,Accessories,3,677.31,340.4,2031.93,304.79,2336.72,Cuba,Store C,Bonnie Guzman,Wholesale,Wire Transfer,0.0
FA-9,49421,Wendy Miller,2023-08-18,Mouse,Accessories,3,910.22,564.0,2730.66,409.6,3140.26,Guadeloupe,Online Platform,Julie Oneill,Wholesale,Paypal,0.0
FA-84608,27737,Stephen Brown,2023-06-09,Tablet,Mobile Devices,6,66.74,53.3,400.44,60.07,460.51,Antigua and Barbuda,Store C,Steve Hawkins,Online,Credit Card,0.12
FA-38967,74415,Tara Nielsen,2023-05-20,Laptop,Electronics,3,185.97,123.58,557.91,83.69,641.6,Japan,Store C,Brian Gilbert,Corporate,Paypal,0.0
